Title,Year,ISSN,DOI,Link,Telecom Category,Conceptualization,,,,,Data Handling,,,Model Development / Evaluation,,,,,,,,,Model Deployment,Publication,,,,Score
Creation of 6G Communication System for VANETs via a Neuro-Fuzzy Forwarder Selection Scheme,2024,19391374,10.1109/TSC.2023.3331730,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177059441&doi=10.1109%2fTSC.2023.3331730&partnerID=40&md5=b131668e0ecc5db07e74b46e6aef49ca,User Mobility and Positioning,Yes,Yes,No,Yes,Yes,Yes,No,No,NA,Yes,Yes,Partial,No,No,No,No,No,No,No,No,No,No,
"AI-Enabled Deployment Automation for 6G Space-Air-Ground Integrated Networks: Challenges, Design, and Outlook",2024,8908044,10.1109/MNET.2024.3368753,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186110646&doi=10.1109%2fMNET.2024.3368753&partnerID=40&md5=3162b0ca8d93cebf269f17c2f5c60bfb,Network Slicing and Management,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Partial,No,No,No,No,
Federated Deep Reinforcement Learning for Prediction-Based Network Slice Mobility in 6G Mobile Networks,2024,15361233,10.1109/TMC.2024.3404125,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194069193&doi=10.1109%2fTMC.2024.3404125&partnerID=40&md5=a34fd14eeee0f6aaf9f8ec3fe869c2ea,Network Slicing and Management,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,
Multi-Dimensional Resource Orchestration Toward Edge Intelligence in 6G Networks,2023,1636804,10.1109/MCOM.005.2200905,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168270449&doi=10.1109%2fMCOM.005.2200905&partnerID=40&md5=678b764f9bdb7c0d7141acafc2eeb296,Computing and Edge,Yes,Yes,No,Partial,Partial,No,No,No,No,Yes,Yes,Partial,No,No,No,No,Yes,Partial,No,No,No,No,
Network Slicing with Centralized and Distributed Reinforcement Learning for Combined Satellite/Ground Networks in a 6G Environment,2022,15361284,10.1109/MWC.001.2100287,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128551116&doi=10.1109%2fMWC.001.2100287&partnerID=40&md5=ca9bb29c43d93740ca5804774bd4a996,Network Slicing and Management,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Partial,No,No,No,No,No,No,No,No,No,No,
Customized Slicing for 6G: Enforcing Artificial Intelligence on Resource Management,2021,8908044,10.1109/MNET.011.2000644,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103262310&doi=10.1109%2fMNET.011.2000644&partnerID=40&md5=694e01f0cd4601ab475250f90bacca4e,Network Slicing and Management,Yes,Partial,No,Partial,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,
Deep-Learning-Based Intelligent Intervehicle Distance Control for 6G-Enabled Cooperative Autonomous Driving,2021,23274662,10.1109/JIOT.2020.3048050,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099102064&doi=10.1109%2fJIOT.2020.3048050&partnerID=40&md5=8d713b5474ae674537b5b0cb36e8d951,User Mobility and Positioning,Yes,Yes,No,Yes,Partial,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,
Deep Reinforcement Learning-Based Power Allocation for Rate-Splitting Multiple Access in 6G LEO Satellite Communication System,2022,21622337,10.1109/LWC.2022.3196408,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135750720&doi=10.1109%2fLWC.2022.3196408&partnerID=40&md5=88fa04fbae61d96fe649b4a4fd66e0c7,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,No,No,Partial,Yes,Yes,Partial,Yes,No,No,No,Yes,Partial,No,No,No,No,
SliceBlock: Context-Aware Authentication Handover and Secure Network Slicing Using DAG-Blockchain in Edge-Assisted SDN/NFV-6G Environment,2022,23274662,10.1109/JIOT.2022.3161838,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134157246&doi=10.1109%2fJIOT.2022.3161838&partnerID=40&md5=60ac1df59ddd7fb8668bd60a27d787eb,Security and Privacy,Yes,Yes,No,Partial,Yes,No,No,No,No,Yes,Yes,Partial,Partial,No,No,No,Yes,Partial,No,No,No,No,
Intelligent Content Caching Strategy in Autonomous Driving Toward 6G,2022,15249050,10.1109/TITS.2021.3114199,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118651447&doi=10.1109%2fTITS.2021.3114199&partnerID=40&md5=b7272ebb82afd93f2593d7e759f1386d,Computing and Edge,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Partial,No,No,No,No,No,No,No,Yes,No,
Efficient and reliable hybrid deep learning-enabled model for congestion control in 5G/6G networks,2022,1403664,10.1016/j.comcom.2021.11.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119096411&doi=10.1016%2fj.comcom.2021.11.001&partnerID=40&md5=9e2a4fd04567f917a483b45978a24539,Resource and Traffic Management,Yes,Yes,No,Partial,Yes,No,Yes,No,No,Partial,Yes,No,No,No,Yes,No,No,No,NA,No,No,No,
Deep Reinforcement Learning-Based Adaptive Handover Mechanism for VLC in a Hybrid 6G Network Architecture,2021,21693536,10.1109/ACCESS.2021.3089521,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117545110&doi=10.1109%2fACCESS.2021.3089521&partnerID=40&md5=c3865abaa67af1b69725d2c0d1457142,User Mobility and Positioning,Yes,Yes,No,Partial,Yes,No,No,No,No,Yes,Yes,No,Partial,No,No,No,Yes,No,No,No,No,No,
Neural architecture search for robust networks in 6g-enabled massive iot domain,2021,23274662,10.1109/JIOT.2020.3040281,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097134583&doi=10.1109%2fJIOT.2020.3040281&partnerID=40&md5=c235bee8f18ca37edaed963fc47419ec,Security and Privacy,Yes,Yes,Partial,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Partial,Yes,Yes,No,No,No,No,No,No,No,
Federated Imitation Learning: A Cross-Domain Knowledge Sharing Framework for Traffic Scheduling in 6G Ubiquitous IoT,2021,8908044,10.1109/MNET.011.2100134,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119428361&doi=10.1109%2fMNET.011.2100134&partnerID=40&md5=62b3d0799847470bf279f6313992998a,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Partial,Yes,No,No,No,Partial,No,No,No,No,
A Deep-Q Learning Scheme for Secure Spectrum Allocation and Resource Management in 6G Environment,2022,19324537,10.1109/TNSM.2022.3186725,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133677664&doi=10.1109%2fTNSM.2022.3186725&partnerID=40&md5=6335806205f5a16598670eef54ee2b4a,Sepctrum Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Partial,No,No,No,Yes,Partial,No,No,No,No,
Cybertwin-driven resource allocation using deep reinforcement learning in 6G-enabled edge environment,2022,13191578,10.1016/j.jksuci.2022.02.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125434300&doi=10.1016%2fj.jksuci.2022.02.005&partnerID=40&md5=5b0203dd8a603bdeee7e662773ae0657,Computing and Edge,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No,
Evolution Toward 6G Multi-Band Wireless Networks: A Resource Management Perspective,2022,15361284,10.1109/MWC.006.2100536,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132533042&doi=10.1109%2fMWC.006.2100536&partnerID=40&md5=66e3f9052547bd82c9695a57c8a46c32,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Partial,No,No,No,Yes,Partial,No,No,No,No,
Continual Learning Digital Predistortion of RF Power Amplifier for 6G AI-Empowered Wireless Communication,2022,189480,10.1109/TMTT.2022.3210199,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139820378&doi=10.1109%2fTMTT.2022.3210199&partnerID=40&md5=021d138a599aa150cc25eb12d0468fd6,Channel and Physical Layer,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Partial,Yes,No,No,Yes,Partial,No,No,No,No,
Toward Energy-Efficient Distributed Federated Learning for 6G Networks,2021,15361284,10.1109/MWC.012.2100153,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124225962&doi=10.1109%2fMWC.012.2100153&partnerID=40&md5=abf417e18f40f4b57c669cdd5395300b,Energy Efficiency,Yes,Yes,Yes,Partial,Partial,No,No,No,No,Yes,Yes,Partial,Partial,Yes,Yes,No,Yes,Partial,No,No,No,No,
BlockCRN-IoCV: Secure Spectrum Access and Beamforming for Defense Against Attacks in mmWave Massive MIMO CRN in 6G Internet of Connected Vehicles,2022,21693536,10.1109/ACCESS.2022.3187745,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133791513&doi=10.1109%2fACCESS.2022.3187745&partnerID=40&md5=33b5d57688d10a3b5db8c57b58c6d14e,Security and Privacy,Yes,Yes,No,Partial,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,
Collaborative Machine Learning for Energy-Efficient Edge Networks in 6G,2021,8908044,10.1109/MNET.100.2100313,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124142355&doi=10.1109%2fMNET.100.2100313&partnerID=40&md5=2b96dd20a6cf3041aed807d07f23d204,Energy Efficiency,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,
Energy-efficient resource allocation strategy in massive iot for industrial 6G applications,2021,23274662,10.1109/JIOT.2020.3035608,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098757956&doi=10.1109%2fJIOT.2020.3035608&partnerID=40&md5=e040c8860dae06f334ad9e709664cf8f,Energy Efficiency,Yes,Yes,No,Partial,Yes,No,No,No,No,Yes,Yes,No,Partial,No,No,No,Yes,Partial,No,No,No,No,
Smart stochastic routing for 6G-enabled massive Internet of Things,2021,1403664,10.1016/j.comcom.2021.09.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116592901&doi=10.1016%2fj.comcom.2021.09.015&partnerID=40&md5=626869a68f978204adb99d8ea1dc0981,Resource and Traffic Management,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Partial,Yes,Yes,Yes,Partial,No,No,No,Yes,Partial,No,No,No,No,
Intelligent Radio Access Network Slicing for Service Provisioning in 6G: A Hierarchical Deep Reinforcement Learning Approach,2021,15580857,10.1109/TCOMM.2021.3090423,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9459763,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,
Zero-Touch AI-Driven Distributed Management for Energy-Efficient 6G Massive Network Slicing,2021,1558156X,10.1109/MNET.111.2100322,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9687472,Energy Efficiency,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,
Spectrum-Learning-Aided Reconfigurable Intelligent Surfaces for “Green” 6G Networks,2021,1558156X,10.1109/MNET.110.2100301,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9687460,Energy Efficiency,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Partial,Yes,No,No,Yes,No,No,No,No,No,
AI-Based Resource Provisioning of IoE Services in 6G: A Deep Reinforcement Learning Approach,2021,19324537,10.1109/TNSM.2021.3066625,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9380677,Computing and Edge,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Partial,No,No,No,No,
AI-Driven Collaborative Resource Allocation for Task Execution in 6G-Enabled Massive IoT,2021,23274662,10.1109/JIOT.2021.3051031,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9320578,Resource and Traffic Management,Yes,Yes,No,Partial,Yes,No,No,No,Partial,Yes,Yes,Yes,Partial,No,No,No,Yes,No,No,No,No,No,
Deep Learning for Multi-User Proactive Beam Handoff: A 6G Application,2023,21693536,10.1109/ACCESS.2023.3274810,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10122528,User Mobility and Positioning,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,
DL-Based Minimizing Virtual Environment Resource Usage in 6G Cellular Networks,2023,21693536,10.1109/ACCESS.2023.3326842,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10292647,Resource and Traffic Management,Yes,Yes,Partial,Yes,Yes,Yes,Yes,Partial,Partial,Yes,Yes,No,Partial,No,No,No,Yes,No,No,No,No,No,
6G Network AI Architecture for Everyone-Centric Customized Services,2023,1558156X,10.1109/MNET.124.2200241,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9839652,Resource and Traffic Management,Yes,Yes,No,Partial,Yes,No,No,Yes,No,Yes,Yes,Partial,No,No,No,No,Yes,No,No,No,No,No,
Energy-Efficient Coverage and Capacity Enhancement With Intelligent UAV-BSs Deployment in 6G Edge Networks,2023,15580016,10.1109/TITS.2022.3198834,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9868213,Energy Efficiency,Yes,Yes,No,Partial,Yes,No,No,Partial,No,Yes,Yes,No,Partial,No,No,No,Yes,No,No,No,No,No,
HCP: Heterogeneous Computing Platform for Federated Learning Based Collaborative Content Caching Towards 6G Networks,2022,21686750,10.1109/TETC.2020.2986238,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9060924,Computing and Edge,Yes,Yes,Yes,Yes,Yes,Partial,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,
AI-Aided Integrated Terrestrial and Non-Terrestrial 6G Solutions for Sustainable Maritime Networking,2022,1558156X,10.1109/MNET.104.2100351,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9829372,Energy Efficiency,Yes,Yes,No,Partial,Partial,No,No,No,No,Yes,Partial,Partial,No,No,No,No,Yes,Yes,No,No,No,No,
Proactive and AoI-Aware Failure Recovery for Stateful NFV-Enabled Zero-Touch 6G Networks: Model-Free DRL Approach,2022,19324537,10.1109/TNSM.2021.3113054,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9539883,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,
Deep Learning of Transferable MIMO Channel Modes for 6G V2X Communications,2022,15582221,10.1109/TAP.2022.3169950,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9765739,Channel and Physical Layer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,
DRL-Based Low-Latency Content Delivery for 6G Massive Vehicular IoT,2022,23274662,10.1109/JIOT.2021.3064874,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9373572,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Partial,No,No,No,Yes,No,No,No,No,No,
Low Altitude 3-D Coverage Performance Analysis of Cell-Free RAN for 6G Systems,2023,19399359,10.1109/TVT.2023.3296794,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10192084,Channel and Physical Layer,Yes,Yes,No,Yes,Yes,No,No,No,Partial,Yes,Yes,No,Partial,No,No,No,Yes,No,No,No,No,No,
An Adaptive Biomimetic Ant Colony Optimization With 6G Integration for IoT Network Communication,2023,21693536,10.1109/ACCESS.2023.3310273,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10234405,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Partial,No,No,No,Yes,No,No,No,No,No,
AI-Enabled Network-Functions Virtualization and Software-Defined Architectures for Customized Statistical QoS Over 6G Massive MIMO Mobile Wireless Networks,2023,1558156X,10.1109/MNET.005.2200408,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10239348,Network Slicing and Management,Yes,Yes,No,Partial,Yes,No,No,No,No,Yes,Yes,No,Partial,No,No,No,Yes,No,No,No,No,No,
Improving Application Support in 6G Networks With CAPOM: Confluence-Aided Process Organization Method,2023,21693536,10.1109/ACCESS.2023.3310808,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10235956,Computing and Edge,Yes,Yes,No,Partial,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,
Patient-Centric HetNets Powered by Machine Learning and Big Data Analytics for 6G Networks,2020,21693536,10.1109/ACCESS.2020.2992555,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9086596,Resource and Traffic Management,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Partial,No,Yes,Yes,Yes,Yes,No,No,No,No,No,
Edge Intelligence for IoT Services in 6G Integrated Terrestrial and Non-Terrestrial Networks,2024,1558156X,10.1109/MNET.2024.3384389,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494748,Computing and Edge,Yes,Partial,No,Partial,Yes,No,No,No,No,Yes,Yes,Partial,No,No,No,No,Yes,No,No,No,No,No,
GainNet: Coordinates the Odd Couple of Generative AI and 6G Networks,2024,1558156X,10.1109/MNET.2024.3418671,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10570229,Computing and Edge,Yes,Yes,Partial,Yes,Yes,Partial,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Partial,No,No,No,No,
Toward Intelligent and Adaptive Task Scheduling for 6G: An Intent-Driven Framework,2024,23327731,10.1109/TCCN.2024.3391318,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10505907,Computing and Edge,Yes,Yes,No,Yes,Yes,No,No,No,Partial,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,
FBMP-IDS: FL-Based Blockchain-Powered Lightweight MPC-Secured IDS for 6G Networks,2024,21693536,10.1109/ACCESS.2024.3435920,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10614597,Security and Privacy,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,
Revamping the Resilience and High Availability of 5G Core for 6G Ready Network Slices,2024,19324537,10.1109/TNSM.2023.3348137,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10376225,Network Slicing and Management,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Partial,Yes,Yes,Yes,No,No,No,No,No,No,
Knowledge-Driven Deep Learning Paradigms for Wireless Network Optimization in 6G,2024,1558156X,10.1109/MNET.2024.3352257,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10387423,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Partial,No,No,No,Yes,No,No,No,No,No,
Localization-Oriented Digital Twinning in 6G: A New Indoor-Positioning Paradigm and Proof-of-Concept,2024,15582248,10.1109/TWC.2024.3373034,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10471311,User Mobility and Positioning,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Partial,No,No,No,No,
Dynamic Fine-Grained SLA Management for 6G eMBB-Plus Slice Using mDNN & Smart Contracts,2024,19391374,10.1109/TSC.2024.3453709,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10663940,Network Slicing and Management,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Partial,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
Enabling 6G Applications in the Sky: Aeronautical Federation Framework,2024,1558156X,10.1109/MNET.132.2200526,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10061632,Computing and Edge,Yes,Yes,No,Partial,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,
Network Selection and Resource Allocation for Coexistence of eMBB and URLLC Services in a 6G Multi-Band HetNet,2024,24732400,10.1109/TGCN.2024.3481281,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10716774,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,No,Partial,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,
Sub-6G Aided Millimeter Wave Hybrid Beamforming: A Two-Stage Deep Learning Framework With Statistical Channel Information,2024,24732400,10.1109/TGCN.2024.3359208,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10415870,Channel and Physical Layer,Yes,Yes,Yes,Yes,Yes,Partial,Yes,Partial,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,
FAQ: A Fuzzy-Logic-Assisted Q-Learning Model for Resource Allocation in 6G V2X,2024,23274662,10.1109/JIOT.2023.3294279,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10184194,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Partial,No,No,No,Yes,No,No,No,No,No,
Multi-Agent DRL-Based Consensus Mechanism for Blockchain-Based Collaborative Computing in UAV-Assisted 6G Networks,2024,23274662,10.1109/JIOT.2024.3484005,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10726599,Security and Privacy,Yes,Yes,No,Partial,Yes,Partial,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,
FedShip: Federated Over-the-Air Learning for Communication-Efficient and Privacy-Aware Smart Shipping in 6G Communications,2024,15580016,10.1109/TITS.2024.3468383,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10707001,Security and Privacy,Yes,Yes,Yes,Yes,Yes,Partial,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,
Electric Semantic Compression-Based 6G Wireless Sensing and Communication Integrated Resource Allocation,2024,23274662,10.1109/JIOT.2024.3444450,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10677448,Resource and Traffic Management,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Partial,Yes,No,No,Yes,No,No,No,No,No,
Reinforcement Learning Based Resource Management for 6G-Enabled mIoT With Hypergraph Interference Model,2024,15580857,10.1109/TCOMM.2024.3372892,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10458122,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Partial,No,No,No,Yes,No,NA,No,No,No,
Big Data Analytics Model Using Artificial Intelligence (AI) and 6G Technologies for Healthcare,2024,21693536,10.1109/ACCESS.2024.3427333,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10596294,Computing and Edge,Yes,Yes,Yes,Partial,Yes,Yes,Yes,No,No,Yes,Yes,No,Partial,Yes,Yes,No,Yes,No,No,No,No,No,
Toward Bridging the FL Performance-Explainability Tradeoff: A Trustworthy 6G RAN Slicing Use-Case,2024,19399359,10.1109/TVT.2024.3364363,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10430406,Network Slicing and Management,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Partial,No,No,Yes,No,No,No,No,No,No,
Holographic MIMO With Integrated Sensing and Communication for Energy-Efficient Cell-Free 6G Networks,2024,23274662,10.1109/JIOT.2024.3411695,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10552365,Energy Efficiency,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Partial,No,Yes,No,Yes,No,No,No,No,No,
Efficient End–Edge–Cloud Task Offloading in 6G Networks Based on Multiagent Deep Reinforcement Learning,2024,23274662,10.1109/JIOT.2024.3372614,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10477307,Computing and Edge,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No,
AI-Enhanced Quantum-Secured IoT Communication Framework for 6G Cognitive Radio Networks,2024,21693536,10.1109/ACCESS.2024.3471711,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10701274,Security and Privacy,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,
Reliability-Guaranteed Uplink Resource Management in Proactive Mobile Network for Minimal Latency Communications,2023,15361276,10.1109/TWC.2022.3231319,http://doi.org/10.1109/TWC.2022.3231319,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Partial,No,No,No,Yes,No,No,No,No,No,
"Deep Reinforcement Learning-Based Resource Allocation for Integrated Sensing, Communication, and Computation in Vehicular Network",2024,15361276,10.1109/TWC.2024.3470873,http://doi.org/10.1109/TWC.2024.3470873,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Partial,Partial,No,No,No,Yes,No,No,No,No,No,
Federation based joint client and server side Machine Learning for 5G and Wireless Channel Estimation,2022,13891286,10.1016/j.comnet.2022.108902,http://doi.org/10.1016/j.comnet.2022.108902,Channel and Physical Layer,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Partial,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,
A Safe Deep Reinforcement Learning Approach for Energy Efficient Federated Learning in Wireless Communication Networks,2024,24732400,10.1109/TGCN.2024.3372695,http://doi.org/10.1109/TGCN.2024.3372695,Energy Efficiency,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No,
Computation Offloading and Resource Allocation in MEC-Enabled Integrated Aerial-Terrestrial Vehicular Networks: A Reinforcement Learning Approach,2022,15249050,10.1109/TITS.2022.3179987,http://doi.org/10.1109/TITS.2022.3179987,Computing and Edge,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,
Quantum Neural Networks for Resource Allocation in Wireless Communications,2022,15361276,10.1109/TWC.2021.3102139,http://doi.org/10.1109/TWC.2021.3102139,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Partial,Partial,No,No,No,Yes,No,No,No,No,No,
Reinforcement Learning Assisted Bandwidth Aware Virtual Network Resource Allocation,2022,19324537,10.1109/TNSM.2022.3199471,http://doi.org/10.1109/TNSM.2022.3199471,Resource and Traffic Management,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,
Standing on the Shoulders of Giants: Cross-Slice Federated Meta Learning for Resource Orchestration to Cold-Start Slice,2023,10636692,10.1109/TNET.2022.3200853,http://doi.org/10.1109/TNET.2022.3200853,Network Slicing and Management,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No,
A Model-Driven Deep Learning Algorithm for Joint Activity Detection and Channel Estimation,2020,10897798,10.1109/LCOMM.2020.3011571,http://doi.org/10.1109/LCOMM.2020.3011571,Channel and Physical Layer,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No,
