Title,Issn,SJR Best Quartile,Categories,Year
Journal of Vegetation Science,11009233,Q1,Ecology (Q1); Plant Science (Q1),2020
Language Awareness,09658416,Q1,Education (Q1); Linguistics and Language (Q1),2020
Applied Health Economics and Health Policy,"11755652, 11791896",Q1,Economics and Econometrics (Q1); Health Policy (Q1); Medicine (miscellaneous) (Q1),2020
F1000Research,20461402,Q1,"Medicine (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Immunology and Microbiology (miscellaneous)  (Q2)",2020
Physics of the Earth and Planetary Interiors,00319201,Q1,Geophysics (Q1); Physics and Astronomy (miscellaneous) (Q1); Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2),2020
Survey Research Methods,18643361,Q1,Education (Q1),2020
BMC Health Services Research,14726963,Q1,Health Policy (Q1),2020
Food Packaging and Shelf Life,22142894,Q1,"Biomaterials (Q1); Food Science (Q1); Polymers and Plastics (Q1); Safety, Risk, Reliability and Quality (Q1); Microbiology (medical) (Q2)",2020
Journal of Rheology,01486055,Q1,Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1),2020
Mathematical Thinking and Learning,"15327833, 10986065",Q1,Developmental and Educational Psychology (Q1); Education (Q1); Mathematics (miscellaneous) (Q1),2020
Nonprofit and Voluntary Sector Quarterly,"15527395, 08997640",Q1,Social Sciences (miscellaneous) (Q1),2020
Advances in Therapy,"0741238X, 18658652",Q1,Medicine (miscellaneous) (Q1); Pharmacology (medical) (Q1),2020
Archives of Biochemistry and Biophysics,"00039861, 10960384",Q1,Biophysics (Q1); Biochemistry (Q2); Molecular Biology (Q2),2020
"Language, Speech, and Hearing Services in Schools","01611461, 15589129",Q1,Linguistics and Language (Q1); Speech and Hearing (Q1),2020
Applied Vegetation Science,"1654109X, 14022001",Q1,"Ecology (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)",2020
Ecological Engineering,09258574,Q1,"Environmental Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)",2020
Journal of Agronomy and Crop Science,"1439037X, 09312250",Q1,Agronomy and Crop Science (Q1); Plant Science (Q1),2020
Mycorrhiza,"14321890, 09406360",Q1,"Ecology, Evolution, Behavior and Systematics (Q1); Medicine (miscellaneous) (Q1); Plant Science (Q1); Genetics (Q2); Molecular Biology (Q2)",2020
Philosophical Quarterly,"00318094, 14679213",Q1,Philosophy (Q1),2020
Shock,"10732322, 15400514",Q1,Critical Care and Intensive Care Medicine (Q1); Emergency Medicine (Q1),2020
Journal of NeuroEngineering and Rehabilitation,17430003,Q1,Health Informatics (Q1); Rehabilitation (Q1),2020
Rice Science,16726308,Q1,Agronomy and Crop Science (Q1); Biotechnology (Q1); Plant Science (Q1),2020
Science Technology and Human Values,"01622439, 15528251",Q1,Anthropology (Q1); Economics and Econometrics (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1); Philosophy (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1),2020
SIAM-ASA Journal on Uncertainty Quantification,21662525,Q1,"Applied Mathematics (Q1); Discrete Mathematics and Combinatorics (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)",2020
Applied Ergonomics,"18729126, 00036870",Q1,"Engineering (miscellaneous) (Q1); Human Factors and Ergonomics (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Safety, Risk, Reliability and Quality (Q1)",2020
Computational Statistics and Data Analysis,01679473,Q1,Applied Mathematics (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Statistics and Probability (Q2),2020
European Business Review,0955534X,Q1,"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1)",2020
IEEE Transactions on Green Communications and Networking,24732400,Q1,"Computer Networks and Communications (Q1); Renewable Energy, Sustainability and the Environment (Q2)",2020
IEEE Transactions on Neural Systems and Rehabilitation Engineering,"15344320, 15580210",Q1,Biomedical Engineering (Q1); Computer Science Applications (Q1); Internal Medicine (Q1); Medicine (miscellaneous) (Q1); Rehabilitation (Q1); Neuroscience (miscellaneous) (Q2),2020
International Journal of Life Cycle Assessment,"09483349, 16147502",Q1,Environmental Science (miscellaneous) (Q1),2020
Radiation Oncology,1748717X,Q1,"Radiology, Nuclear Medicine and Imaging (Q1); Oncology (Q2)",2020
Critical Reviews in Toxicology,"15476898, 10408444",Q1,Toxicology (Q1),2020
International Journal of Science Education,"09500693, 14645289",Q1,Education (Q1),2020
Minerals Engineering,08926875,Q1,Chemistry (miscellaneous) (Q1); Control and Systems Engineering (Q1); Geotechnical Engineering and Engineering Geology (Q1); Mechanical Engineering (Q1),2020
npj Microgravity,23738065,Q1,"Agricultural and Biological Sciences (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Space and Planetary Science (Q2)",2020
User Modeling and User-Adapted Interaction,"15731391, 09241868",Q1,Computer Science Applications (Q1); Education (Q1); Human-Computer Interaction (Q1),2020
Canadian Journal of Fisheries and Aquatic Sciences,"0706652X, 12057533",Q1,"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",2020
Journal of Materials in Civil Engineering,"19435533, 08991561",Q1,Building and Construction (Q1); Civil and Structural Engineering (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1),2020
Journal of Diabetes Investigation,"20401116, 20401124",Q1,"Internal Medicine (Q1); Medicine (miscellaneous) (Q1); Endocrinology, Diabetes and Metabolism (Q2)",2020
Journal of Volcanology and Geothermal Research,03770273,Q1,Geochemistry and Petrology (Q1); Geophysics (Q1),2020
Social and Cultural Geography,"14701197, 14649365",Q1,"Cultural Studies (Q1); Geography, Planning and Development (Q1)",2020
Clinical Oral Investigations,"14326981, 14363771",Q1,Dentistry (miscellaneous) (Q1),2020
Expert Opinion on Biological Therapy,"14712598, 17447682",Q1,Clinical Biochemistry (Q1); Drug Discovery (Q1); Pharmacology (Q1),2020
"Housing, Theory and Society","16512278, 14036096",Q1,Development (Q1); Sociology and Political Science (Q1); Urban Studies (Q1),2020
Journal of Energy Storage,2352152X,Q1,"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Renewable Energy, Sustainability and the Environment (Q2)",2020
Mobile Media and Communication,"20501579, 20501587",Q1,Communication (Q1); Computer Networks and Communications (Q1); Media Technology (Q1),2020
Motivation and Emotion,"15736644, 01467239",Q1,Social Psychology (Q1); Experimental and Cognitive Psychology (Q2),2020
IEEE Transactions on Terahertz Science and Technology,2156342X,Q1,Electrical and Electronic Engineering (Q1); Radiation (Q1),2020
Orthopaedics and Traumatology: Surgery and Research,18770568,Q1,Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Surgery (Q1),2020
Information Systems Frontiers,"15729419, 13873326",Q1,Computer Networks and Communications (Q1); Information Systems (Q1); Software (Q1); Theoretical Computer Science (Q1),2020
International Breastfeeding Journal,17464358,Q1,"Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1)",2020
Menopause,"10723714, 15300374",Q1,Obstetrics and Gynecology (Q1),2020
Ocean Science,"18120792, 18120784",Q1,Oceanography (Q1); Paleontology (Q1),2020
"Infection, Genetics and Evolution","15677257, 15671348",Q1,"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q2); Infectious Diseases (Q2); Microbiology (Q2); Microbiology (medical) (Q2); Molecular Biology (Q2)",2020
Journal of Early Adolescence,"15525449, 02724316",Q1,Life-span and Life-course Studies (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Developmental and Educational Psychology (Q2),2020
Neurocomputing,"09252312, 18728286",Q1,Artificial Intelligence (Q1); Computer Science Applications (Q1); Cognitive Neuroscience (Q2),2020
Expert Opinion on Drug Delivery,17425247,Q1,Pharmaceutical Science (Q1),2020
Health and Quality of Life Outcomes,14777525,Q1,"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)",2020
Pedosphere,10020160,Q1,Soil Science (Q1),2020
Environment and Society: Advances in Research,"21506779, 21506787",Q1,"Anthropology (Q1); Geography, Planning and Development (Q1); Nature and Landscape Conservation (Q1); Global and Planetary Change (Q2)",2020
Extremes,13861999,Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Statistics and Probability (Q2)",2020
International Journal of Integrated Care,15684156,Q1,Health Policy (Q1); Health (social science) (Q1); Sociology and Political Science (Q1),2020
Rural Sociology,"00360112, 15490831",Q1,Sociology and Political Science (Q1),2020
ACS Biomaterials Science and Engineering,23739878,Q1,Biomedical Engineering (Q1); Biomaterials (Q2),2020
Digital Communications and Networks,"23528648, 24685925",Q1,Communication (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1),2020
International Interactions,"03050629, 15477444",Q1,Political Science and International Relations (Q1),2020
Tourism Geographies,"14701340, 14616688",Q1,"Geography, Planning and Development (Q1); Tourism, Leisure and Hospitality Management (Q1)",2020
European Physical Education Review,"1356336X, 17412749",Q1,"Education (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)",2020
Molecular Pain,17448069,Q1,Anesthesiology and Pain Medicine (Q1); Molecular Medicine (Q2); Cellular and Molecular Neuroscience (Q3),2020
British Medical Bulletin,"00071420, 14718391",Q1,Medicine (miscellaneous) (Q1),2020
Environmental Science: Water Research and Technology,"20531400, 20531419",Q1,Environmental Engineering (Q1); Water Science and Technology (Q1),2020
Korean Journal of Radiology,"12296929, 20058330",Q1,"Radiology, Nuclear Medicine and Imaging (Q1)",2020
Annals of Hematology,"14320584, 09395555",Q1,Medicine (miscellaneous) (Q1); Hematology (Q2),2020
Computers and Mathematics with Applications,08981221,Q1,Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Modeling and Simulation (Q1),2020
Microporous and Mesoporous Materials,13871811,Q1,Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q2),2020
Powder Technology,"1873328X, 00325910",Q1,Chemical Engineering (miscellaneous) (Q1),2020
Calcified Tissue International,"14320827, 0171967X",Q1,"Orthopedics and Sports Medicine (Q1); Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2)",2020
EvoDevo,20419139,Q1,"Ecology, Evolution, Behavior and Systematics (Q1); Developmental Biology (Q2); Genetics (Q2)",2020
Journal of Education for Teaching,"13600540, 02607476",Q1,Education (Q1),2020
Journal of Modern Power Systems and Clean Energy,"21965420, 21965625",Q1,"Energy Engineering and Power Technology (Q1); Renewable Energy, Sustainability and the Environment (Q2)",2020
Social Development,"14679507, 0961205X",Q1,Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Developmental and Educational Psychology (Q2),2020
International Journal of Health Geographics,1476072X,Q1,"Business, Management and Accounting (miscellaneous) (Q1); Computer Science (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)",2020
Journal of Research in Reading,"14679817, 01410423",Q1,Education (Q1); Psychology (miscellaneous) (Q1); Developmental and Educational Psychology (Q2),2020
Ornithology,"00048038, 27324613",Q1,"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",2020
EFSA Journal,18314732,Q1,Animal Science and Zoology (Q1); Food Science (Q1); Parasitology (Q1); Plant Science (Q1); Veterinary (miscellaneous) (Q1); Microbiology (Q2),2020
Journal of Attention Disorders,"10870547, 15571246",Q1,Clinical Psychology (Q1); Developmental and Educational Psychology (Q2),2020
Annual Review of Law and Social Science,15503585,Q1,Law (Q1); Sociology and Political Science (Q1),2020
BMC Medical Ethics,14726939,Q1,"Health Policy (Q1); Health (social science) (Q1); Issues, Ethics and Legal Aspects (Q1)",2020
Competition and Change,"10245294, 14772221",Q1,"Business, Management and Accounting (miscellaneous) (Q1)",2020
IEEE Transactions on Cloud Computing,21687161,Q1,Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1),2020
Journal of Pure and Applied Algebra,00224049,Q1,Algebra and Number Theory (Q1),2020
Applied Microbiology and Biotechnology,"14320614, 01757598",Q1,Applied Microbiology and Biotechnology (Q1); Biotechnology (Q1); Medicine (miscellaneous) (Q1),2020
Cambridge Archaeological Journal,"09597743, 14740540",Q1,Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1),2020
International Journal of Science and Mathematics Education,15710068,Q1,Education (Q1); Mathematics (miscellaneous) (Q1),2020
"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences","14712962, 1364503X",Q1,Engineering (miscellaneous) (Q1); Mathematics (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1),2020
Progress in Solid State Chemistry,00796786,Q1,Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1),2020
Current Pollution Reports,21986592,Q1,"Management, Monitoring, Policy and Law (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)",2020
Current Opinion in Chemical Engineering,22113398,Q1,Energy (miscellaneous) (Q1),2020
Journal of Leadership and Organizational Studies,"19397089, 15480518",Q1,Business and International Management (Q1); Management Science and Operations Research (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1),2020
Poultry Science,"15253171, 00325791",Q1,Animal Science and Zoology (Q1); Medicine (miscellaneous) (Q1),2020
Geographical Journal,"00167398, 14754959",Q1,"Earth-Surface Processes (Q1); Geography, Planning and Development (Q1)",2020
International Journal for Parasitology: Drugs and Drug Resistance,22113207,Q1,Parasitology (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Infectious Diseases (Q2),2020
Journal of Chemical Physics,"10897690, 00219606",Q1,Medicine (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1),2020
Asia Pacific Journal of Management,02174561,Q1,"Business and International Management (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Strategy and Management (Q1)",2020
Journal of Career Assessment,"10690727, 15524590",Q1,Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Psychology (miscellaneous) (Q1),2020
IEEE Transactions on Signal and Information Processing over Networks,2373776X,Q1,Computer Networks and Communications (Q1); Information Systems (Q1); Signal Processing (Q1),2020
Annals of Operations Research,"02545330, 15729338",Q1,Decision Sciences (miscellaneous) (Q1); Management Science and Operations Research (Q1),2020
Acta Politica,00016810,Q1,Political Science and International Relations (Q1),2020
Contemporary Clinical Trials,"15592030, 15517144",Q1,Medicine (miscellaneous) (Q1); Pharmacology (medical) (Q2),2020
Cornell Hospitality Quarterly,"19389663, 19389655",Q1,"Tourism, Leisure and Hospitality Management (Q1)",2020
Language Learning and Development,"15475441, 15473341",Q1,Education (Q1); Linguistics and Language (Q1),2020
Aquaculture,00448486,Q1,Aquatic Science (Q1),2020
Industrial Crops and Products,09266690,Q1,Agronomy and Crop Science (Q1),2020
ACS Medicinal Chemistry Letters,19485875,Q1,Drug Discovery (Q1); Organic Chemistry (Q1); Biochemistry (Q2),2020
Agriculture and Human Values,"15728366, 0889048X",Q1,Agronomy and Crop Science (Q1),2020
Drug Testing and Analysis,"19427611, 19427603",Q1,Analytical Chemistry (Q1); Pharmaceutical Science (Q1); Spectroscopy (Q1); Environmental Chemistry (Q2),2020
International Journal of Earth Sciences,"14373254, 14373262",Q1,Earth and Planetary Sciences (miscellaneous) (Q1),2020
Real Estate Economics,"15406229, 10808620",Q1,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),2020
"Technology, Pedagogy and Education","17475139, 1475939X",Q1,Communication (Q1); Computer Science Applications (Q1); Education (Q1); Information Systems (Q1),2020
Egyptian Journal of Remote Sensing and Space Science,"11109823, 20902476",Q1,Earth and Planetary Sciences (miscellaneous) (Q1),2020
Journal of Child Language,"03050009, 14697602",Q1,Linguistics and Language (Q1); Psychology (miscellaneous) (Q1); Developmental and Educational Psychology (Q2); Experimental and Cognitive Psychology (Q2),2020
Journal of Spectral Theory,"1664039X, 16640403",Q1,Geometry and Topology (Q1); Mathematical Physics (Q1); Statistical and Nonlinear Physics (Q1),2020
Neurosurgical Review,"03445607, 14372320",Q1,Medicine (miscellaneous) (Q1); Surgery (Q1); Neurology (clinical) (Q2),2020
Sexual Medicine Reviews,"20500513, 20500521",Q1,"Dermatology (Q1); Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1); Urology (Q1); Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2)",2020
Applied Clay Science,01691317,Q1,Geology (Q1); Geochemistry and Petrology (Q2),2020
Georisk,"17499518, 17499526",Q1,"Building and Construction (Q1); Civil and Structural Engineering (Q1); Geology (Q1); Geotechnical Engineering and Engineering Geology (Q1); Safety, Risk, Reliability and Quality (Q1)",2020
Journal of Developmental and Life-Course Criminology,"21994641, 2199465X",Q1,Applied Psychology (Q1); Law (Q1); Life-span and Life-course Studies (Q1),2020
ReCALL,09583440,Q1,Computer Science Applications (Q1); Education (Q1); Linguistics and Language (Q1),2020
SPE Journal,1086055X,Q1,Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Geotechnical Engineering and Engineering Geology (Q1),2020
Urban Affairs Review,10780874,Q1,Sociology and Political Science (Q1); Urban Studies (Q1),2020
Community Dentistry and Oral Epidemiology,"03015661, 16000528",Q1,"Dentistry (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)",2020
Computers and Fluids,00457930,Q1,Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1),2020
Information Processing and Management,"18735371, 03064573",Q1,Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Media Technology (Q1),2020
Insect Conservation and Diversity,"17524598, 1752458X",Q1,"Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1)",2020
Sustainable Environment Research,24682039,Q1,"Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1); Renewable Energy, Sustainability and the Environment (Q2)",2020
Discourse,"01596306, 14693739",Q1,Education (Q1); Linguistics and Language (Q1); Social Sciences (miscellaneous) (Q1),2020
International Journal of Clinical Oncology,"13419625, 14377772",Q1,Medicine (miscellaneous) (Q1); Surgery (Q1); Hematology (Q2); Oncology (Q2),2020
Learned Publishing,"09531513, 17414857",Q1,Communication (Q1),2020
IET Control Theory and Applications,"17518644, 17518652",Q1,Computer Science Applications (Q1); Control and Optimization (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1),2020
"Psychological Trauma: Theory, Research, Practice, and Policy","1942969X, 19429681",Q1,Clinical Psychology (Q1); Social Psychology (Q1),2020
Women and Birth,"18715192, 18781799",Q1,Maternity and Midwifery (Q1); Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1),2020
Journal of Biomedical Informatics,"15320480, 15320464",Q1,Computer Science Applications (Q1); Health Informatics (Q1),2020
Journal of Geographical Sciences,"18619568, 1009637X",Q1,Earth and Planetary Sciences (miscellaneous) (Q1),2020
Sexuality Research and Social Policy,"15536610, 18689884",Q1,Gender Studies (Q1); Health (social science) (Q1); Sociology and Political Science (Q1),2020
European Journal of Public Health,"1464360X, 11011262",Q1,"Public Health, Environmental and Occupational Health (Q1)",2020
Feminism and Psychology,"14617161, 09593535",Q1,Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Psychology (miscellaneous) (Q1),2020
Journal of Applied Research in Intellectual Disabilities,"14683148, 13602322",Q1,Education (Q1); Developmental and Educational Psychology (Q2),2020
Pediatric Research,"00313998, 15300447",Q1,"Pediatrics, Perinatology and Child Health (Q1)",2020
Teaching in Higher Education,"14701294, 13562517",Q1,Education (Q1),2020
Comments on Inorganic Chemistry,"02603594, 15489574",Q1,Inorganic Chemistry (Q1),2020
Journal of College Student Development,"08975264, 15433382",Q1,Education (Q1),2020
Journal of Digital Imaging,"1618727X, 08971889",Q1,"Computer Science Applications (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)",2020
Management Communication Quarterly,08933189,Q1,Communication (Q1); Strategy and Management (Q1),2020
Mobilities,"17450101, 1745011X",Q1,"Demography (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)",2020
Journal of Pediatric Psychology,"01468693, 1465735X",Q1,"Pediatrics, Perinatology and Child Health (Q1); Developmental and Educational Psychology (Q2)",2020
Pharmaceutics,19994923,Q1,Pharmaceutical Science (Q1),2020
Phytochemistry Reviews,"15687767, 1572980X",Q1,Biotechnology (Q1); Plant Science (Q1),2020
Bioresources and Bioprocessing,21974365,Q1,"Biomedical Engineering (Q1); Biotechnology (Q1); Food Science (Q1); Renewable Energy, Sustainability and the Environment (Q2)",2020
Journal of the Saudi Society of Agricultural Sciences,1658077X,Q1,Agricultural and Biological Sciences (miscellaneous) (Q1),2020
Career Development International,13620436,Q1,Organizational Behavior and Human Resource Management (Q1); Social Sciences (miscellaneous) (Q1),2020
Worldviews on Evidence-Based Nursing,"1545102X, 17416787",Q1,Medicine (miscellaneous) (Q1); Nursing (miscellaneous) (Q1),2020
Conflict and Health,17521505,Q1,"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)",2020
British Journal of Health Psychology,"1359107X, 20448287",Q1,Applied Psychology (Q1); Medicine (miscellaneous) (Q1),2020
ChemBioChem,"14394227, 14397633",Q1,Organic Chemistry (Q1); Biochemistry (Q2); Molecular Biology (Q2); Molecular Medicine (Q2),2020
European Journal of Applied Physiology,"14396319, 14396327",Q1,"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Public Health, Environmental and Occupational Health (Q1); Physiology (medical) (Q2); Sports Science (Q2)",2020
International Journal of Electrical Power and Energy Systems,01420615,Q1,Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1),2020
Journal of Educational Computing Research,"15414140, 07356331",Q1,Computer Science Applications (Q1); Education (Q1),2020
Journal of Productivity Analysis,"0895562X, 15730441",Q1,Business and International Management (Q1); Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1),2020
Journal of Transport and Land Use,19387849,Q1,"Geography, Planning and Development (Q1); Transportation (Q1); Urban Studies (Q1)",2020
British Journal of Politics and International Relations,13691481,Q1,"Management, Monitoring, Policy and Law (Q1); Political Science and International Relations (Q1)",2020
Cultural Diversity and Ethnic Minority Psychology,"10999809, 19390106",Q1,Social Psychology (Q1); Sociology and Political Science (Q1),2020
Foundations and Trends in Databases,"19317883, 19317891",Q1,Computer Science (miscellaneous) (Q1),2020
Journal of Flood Risk Management,1753318X,Q1,"Environmental Engineering (Q1); Geography, Planning and Development (Q1); Safety, Risk, Reliability and Quality (Q1); Water Science and Technology (Q1)",2020
CALICO Journal,20569017,Q1,Computer Science Applications (Q1); Education (Q1); Linguistics and Language (Q1),2020
International Journal of Molecular Medicine,"1791244X, 11073756",Q1,Medicine (miscellaneous) (Q1); Genetics (Q2),2020
Steel and Composite Structures,12299367,Q1,Building and Construction (Q1); Civil and Structural Engineering (Q1); Metals and Alloys (Q1),2020
"Anxiety, Stress and Coping","10615806, 14772205",Q1,Arts and Humanities (miscellaneous) (Q1); Clinical Psychology (Q1); Developmental and Educational Psychology (Q2); Psychiatry and Mental Health (Q2),2020
Toxins,20726651,Q1,"Health, Toxicology and Mutagenesis (Q1); Toxicology (Q1)",2020
European Journal of Pharmacology,"00142999, 18790712",Q1,Pharmacology (Q1),2020
Journal of Neurologic Physical Therapy,"15570584, 15570576",Q1,"Medicine (miscellaneous) (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1); Geriatrics and Gerontology (Q2); Neurology (clinical) (Q2)",2020
Maritime Policy and Management,03088839,Q1,"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Ocean Engineering (Q1); Transportation (Q1)",2020
NanoImpact,24520748,Q1,"Materials Science (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Safety Research (Q1); Safety, Risk, Reliability and Quality (Q1)",2020
Phytomedicine,"09447113, 1618095X",Q1,Complementary and Alternative Medicine (Q1); Drug Discovery (Q1); Pharmaceutical Science (Q1); Pharmacology (Q1); Molecular Medicine (Q2),2020
Algal Research,22119264,Q1,Agronomy and Crop Science (Q1),2020
American Journal of Bioethics,"15265161, 15360075",Q1,"Health Policy (Q1); Issues, Ethics and Legal Aspects (Q1)",2020
Journal of Nephrology,"17246059, 11218428",Q1,Nephrology (Q1),2020
Journal of Surgical Education,"19317204, 18787452",Q1,Education (Q1); Surgery (Q1),2020
"Chaos, Solitons and Fractals",09600779,Q1,Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1); Statistical and Nonlinear Physics (Q1),2020
Human Vaccines and Immunotherapeutics,"21645515, 2164554X",Q1,Medicine (miscellaneous) (Q1); Pharmacology (Q1); Immunology (Q2); Immunology and Allergy (Q2),2020
Nutrition Journal,14752891,Q1,Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q2),2020
Child Psychiatry and Human Development,"15733327, 0009398X",Q1,"Pediatrics, Perinatology and Child Health (Q1); Developmental and Educational Psychology (Q2); Psychiatry and Mental Health (Q2)",2020
International Journal of Coal Science and Technology,"21987823, 20958293",Q1,Energy Engineering and Power Technology (Q1); Geotechnical Engineering and Engineering Geology (Q1),2020
Journal of Community and Applied Social Psychology,"10529284, 10991298",Q1,Social Psychology (Q1); Sociology and Political Science (Q1),2020
Langmuir,"15205827, 07437463",Q1,Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Spectroscopy (Q1); Surfaces and Interfaces (Q1); Electrochemistry (Q2),2020
Social Science Research,"10960317, 0049089X",Q1,Education (Q1); Sociology and Political Science (Q1),2020
Environmental Conservation,"03768929, 14694387",Q1,"Health, Toxicology and Mutagenesis (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Pollution (Q1); Water Science and Technology (Q1)",2020
Journal of Aging and Health,"15526887, 08982643",Q1,Community and Home Care (Q1); Gerontology (Q1); Health (social science) (Q1); Life-span and Life-course Studies (Q1); Sociology and Political Science (Q1); Geriatrics and Gerontology (Q2),2020
Journal of Reconstructive Microsurgery,"0743684X, 10988947",Q1,Surgery (Q1),2020
Marine Environmental Research,"18790291, 01411136",Q1,Aquatic Science (Q1); Medicine (miscellaneous) (Q1); Oceanography (Q1); Pollution (Q1),2020
Philosophy of Science,"1539767X, 00318248",Q1,History (Q1); History and Philosophy of Science (Q1); Philosophy (Q1),2020
Sustainable Energy Technologies and Assessments,22131388,Q1,"Energy Engineering and Power Technology (Q1); Renewable Energy, Sustainability and the Environment (Q2)",2020
Trends in Neuroscience and Education,22119493,Q1,Education (Q1); Behavioral Neuroscience (Q2); Cognitive Neuroscience (Q2); Neuroscience (miscellaneous) (Q2),2020
International Journal of Approximate Reasoning,"0888613X, 18734731",Q1,Applied Mathematics (Q1); Artificial Intelligence (Q1); Software (Q1); Theoretical Computer Science (Q1),2020
Journal of diabetes science and technology,19322968,Q1,"Biomedical Engineering (Q1); Bioengineering (Q2); Endocrinology, Diabetes and Metabolism (Q2); Internal Medicine (Q2)",2020
Japanese Dental Science Review,"18827616, 22136851",Q1,Dentistry (miscellaneous) (Q1),2020
Science and Education,09267220,Q1,Education (Q1),2020
